,location,price,beds
233,saint-louis-mo,660,1
234,saint-louis-mo,610,1
235,saint-louis-mo,749,1
236,saint-louis-mo,565,1
237,saint-louis-mo,685,1
238,saint-louis-mo,700,1
239,saint-louis-mo,600,1
240,saint-louis-mo,1900,2
241,saint-louis-mo,1815,1
242,saint-louis-mo,1799,1
243,saint-louis-mo,1932,1
244,minneapolis-mn,1590,1
245,minneapolis-mn,1420,1
246,minneapolis-mn,1360,1
247,minneapolis-mn,1292,1
248,minneapolis-mn,1525,1
249,minneapolis-mn,1515,1
250,minneapolis-mn,1060,1
251,minneapolis-mn,1307,1
252,minneapolis-mn,1075,1
253,minneapolis-mn,993,1
254,minneapolis-mn,1000,1
255,minneapolis-mn,1395,1
256,minneapolis-mn,1375,1
257,minneapolis-mn,1116,1
258,minneapolis-mn,1205,1
259,minneapolis-mn,1265,1
260,minneapolis-mn,1808,1
261,minneapolis-mn,1800,1
262,minneapolis-mn,1695,1
263,minneapolis-mn,1870,1
264,minneapolis-mn,1285,1
265,minneapolis-mn,1580,1
266,minneapolis-mn,1421,1
267,minneapolis-mn,1512,1
268,minneapolis-mn,1432,1
269,minneapolis-mn,1479,1
270,minneapolis-mn,1373,1
271,minneapolis-mn,1315,1
272,minneapolis-mn,1550,1
273,minneapolis-mn,1995,2
274,minneapolis-mn,1295,1
275,minneapolis-mn,1526,1
276,minneapolis-mn,1330,1
277,minneapolis-mn,1395,1
278,minneapolis-mn,1223,1
279,minneapolis-mn,1495,1
280,minneapolis-mn,1126,1
281,minneapolis-mn,1270,1
282,minneapolis-mn,1450,1
283,minneapolis-mn,1000,1
284,minneapolis-mn,1205,1
285,minneapolis-mn,1189,1
286,minneapolis-mn,1347,1
287,minneapolis-mn,1520,1
288,minneapolis-mn,949,1
289,minneapolis-mn,1230,1
290,minneapolis-mn,1200,2
291,minneapolis-mn,1050,1
292,minneapolis-mn,1250,1
293,minneapolis-mn,825,2
294,minneapolis-mn,1007,1
295,minneapolis-mn,949,1
296,minneapolis-mn,1165,1
297,minneapolis-mn,800,1
298,minneapolis-mn,1105,1
299,minneapolis-mn,880,1
300,minneapolis-mn,850,1
301,minneapolis-mn,1025,1
302,minneapolis-mn,699,1
303,minneapolis-mn,1331,1
304,minneapolis-mn,1210,1
305,minneapolis-mn,950,1
306,minneapolis-mn,629,1
307,minneapolis-mn,700,1
308,minneapolis-mn,1700,1
309,minneapolis-mn,1089,1
310,minneapolis-mn,1112,1
311,minneapolis-mn,1127,1
312,minneapolis-mn,1339,1
313,minneapolis-mn,1195,1
314,minneapolis-mn,1195,1
315,minneapolis-mn,1360,1
316,minneapolis-mn,2099,2
317,minneapolis-mn,1075,1
318,minneapolis-mn,1115,1
319,minneapolis-mn,2195,3
320,minneapolis-mn,1355,1
321,minneapolis-mn,1269,1
322,minneapolis-mn,1370,1
323,minneapolis-mn,1250,1
324,minneapolis-mn,1799,2
325,minneapolis-mn,1507,1
326,minneapolis-mn,1140,1
327,minneapolis-mn,1170,1
328,minneapolis-mn,1346,1
329,minneapolis-mn,1320,1
330,minneapolis-mn,1035,1
331,minneapolis-mn,1125,1
332,minneapolis-mn,1029,1
333,minneapolis-mn,871,1
334,minneapolis-mn,2085,3
335,minneapolis-mn,785,1
336,minneapolis-mn,879,1
337,minneapolis-mn,730,1
338,minneapolis-mn,735,1
339,minneapolis-mn,555,2
340,minneapolis-mn,1588,1
341,minneapolis-mn,1344,1
342,minneapolis-mn,1095,1
343,minneapolis-mn,2100,2
344,minneapolis-mn,1339,1
345,minneapolis-mn,1250,1
346,minneapolis-mn,1430,1
347,minneapolis-mn,1070,1
348,minneapolis-mn,1195,1
349,minneapolis-mn,1480,1
350,minneapolis-mn,960,1
351,minneapolis-mn,1275,2
